Name,Year,Memory_size,GFLOPS
Radeon Pro W5500,2020,8192,3942
Radeon Pro 5300 XT,2020,8192,5398
Radeon RX 5600 XT,2020,6144,8066
GRID A100,2020,49152,13890
GeForce RTX 3070,2020,8192,20310
Radeon RX 6900 XT,2020,16384,23040
GeForce RTX 3080,2020,10240,29770
GeForce RTX 3090,2020,24576,35580
RTX A6000,2020,49152,40000
GeForce RTX 2060,2020,6144,6451.2
GeForce GTX 1650,2019,4096,2984
Radeon RX 5500 XT,2019,8192,5196
GeForce RTX 2060 Super,2019,8192,7180
GeForce RTX 2070 Super,2019,8192,9060
Radeon RX 5700 XT 50th AE,2019,8192,10138
GeForce RTX 2080 Super,2019,8192,11150
Radeon VII,2019,16384,13824
Radeon Pro Vega II Duo,2019,65536,28180
GeForce GT 1030,2018,2048,1059
Tesla V100 PCIe 32 GB,2018,32768,14130
GeForce Titan RTX,2018,24576,16312
GeForce GTX 1050,2018,3072,2331.6
GeForce GTX 1070,2018,8192,6462.7
GeForce RTX 2080,2018,8192,10068.48
GeForce RTX 2070,2018,8192,7464.96
Tesla P6,2017,16384,6169
Radeon Pro Duo,2017,32768,1919.8
Radeon Pro WX 9100,2017,16384,12288
Tesla V100 SXM2 16 GB,2017,16384,15670
GeForce GTX 1070 Ti,2017,8192,8186.1
GeForce GTX 1080,2017,8192,8872.9
GeForce GTX 1080 Ti,2017,11264,11339.7
GeForce Titan V,2017,12288,14899.2
Radeon R5 435,2016,2048,659
FirePro S7100X,2016,8192,2970
Tesla M10,2016,32768,6688
Tesla P100 PCIe 16 GB,2016,16384,9526
Radeon Pro Duo,2016,8192,16384
GeForce GTX 1050 Ti,2016,4096,2138.1
GeForce Titan X,2016,12288,10974.2